version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 607487649814 eni-01372efd5f409b41b 10.99.1.97 10.99.4.24 443 8880 6 3 164 1642051752 1642051762 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.4.24 10.99.1.97 8880 443 6 5 291 1642051752 1642051762 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.1.97 10.99.4.24 80 12506 6 3 164 1642051752 1642051762 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.4.24 10.99.1.97 12506 80 6 5 291 1642051752 1642051762 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 80 12732 6 3 164 1642051752 1642051762 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 12732 80 6 5 291 1642051752 1642051762 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 80 44019 6 3 164 1642051752 1642051762 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 44019 80 6 5 291 1642051752 1642051762 ACCEPT OK
2 607487649814 eni-00ddb769db3d572ae 162.142.125.152 10.99.6.172 50621 8880 6 1 44 1642051755 1642051755 ACCEPT OK
2 607487649814 eni-08f7e684224b548a7 45.143.203.59 10.99.5.76 58194 12320 6 1 40 1642051757 1642051758 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 80 39127 6 3 164 1642051752 1642051779 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 39127 80 6 5 291 1642051752 1642051779 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.1.97 10.99.4.24 443 38818 6 3 164 1642051752 1642051779 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.4.24 10.99.1.97 38818 443 6 5 291 1642051752 1642051779 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.1.97 10.99.4.24 80 35758 6 3 164 1642051752 1642051779 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.4.24 10.99.1.97 35758 80 6 5 291 1642051752 1642051779 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 443 37951 6 3 164 1642051752 1642051779 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 37951 443 6 5 291 1642051752 1642051779 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.1.97 10.99.4.24 80 2047 6 4 228 1642051752 1642051779 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.4.24 10.99.1.97 2047 80 6 5 291 1642051752 1642051779 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 443 5288 6 4 228 1642051752 1642051779 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 5288 443 6 5 291 1642051752 1642051779 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.1.97 10.99.4.24 443 5048 6 3 164 1642051752 1642051779 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.4.24 10.99.1.97 5048 443 6 5 291 1642051752 1642051779 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 443 7447 6 4 228 1642051752 1642051779 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 7447 443 6 5 291 1642051752 1642051779 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.1.97 10.99.4.24 443 4644 6 3 164 1642051752 1642051779 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.4.24 10.99.1.97 4644 443 6 5 291 1642051752 1642051779 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 443 1224 6 3 164 1642051752 1642051779 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 1224 443 6 5 291 1642051752 1642051779 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 443 35689 6 3 164 1642051752 1642051779 ACCEPT OK
