version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 607487649814 eni-00632af9961efe549 10.99.1.253 10.99.4.35 51880 443 6 20 1964 1642051776 1642051801 ACCEPT OK
2 607487649814 eni-00632af9961efe549 10.99.4.35 10.99.1.253 443 51880 6 20 8587 1642051776 1642051801 ACCEPT OK
2 607487649814 eni-00632af9961efe549 10.99.1.253 10.99.4.35 51886 443 6 4 286 1642051776 1642051801 ACCEPT OK
2 607487649814 eni-00632af9961efe549 10.99.4.35 3.134.69.118 44018 443 6 12 4110 1642051776 1642051801 ACCEPT OK
2 607487649814 eni-00632af9961efe549 3.134.69.118 10.99.4.35 443 64277 6 19 7907 1642051776 1642051801 ACCEPT OK
2 607487649814 eni-00632af9961efe549 10.99.2.13 10.99.4.35 6579 443 6 12 4110 1642051776 1642051801 ACCEPT OK
2 607487649814 eni-0c23623b09dbedade 10.99.1.253 10.99.2.8 10250 50098 6 23 68023 1642051773 1642051800 ACCEPT OK
2 607487649814 eni-0c23623b09dbedade 10.99.2.8 10.99.1.253 50098 10250 6 23 2002 1642051773 1642051800 ACCEPT OK
2 607487649814 eni-0c23623b09dbedade 10.99.1.66 10.99.2.8 50888 443 6 56 7738 1642051773 1642051800 ACCEPT OK
2 607487649814 eni-0c23623b09dbedade 10.99.2.8 10.99.1.66 443 50888 6 53 13686 1642051773 1642051800 ACCEPT OK
2 607487649814 eni-0c23623b09dbedade 10.99.1.131 10.99.2.8 41680 443 6 49 2828 1642051773 1642051800 ACCEPT OK
2 607487649814 eni-0c23623b09dbedade 10.99.2.8 10.99.1.131 443 41680 6 66 41683 1642051773 1642051800 ACCEPT OK
2 607487649814 eni-0c23623b09dbedade 10.99.1.89 10.99.2.8 48420 443 6 106 10697 1642051773 1642051800 ACCEPT OK
2 607487649814 eni-0c23623b09dbedade 10.99.2.8 10.99.1.89 443 48420 6 107 51325 1642051773 1642051800 ACCEPT OK
2 607487649814 eni-0c23623b09dbedade 10.99.1.35 10.99.2.8 35664 443 6 183 39104 1642051773 1642051800 ACCEPT OK
2 607487649814 eni-0c23623b09dbedade 10.99.2.8 10.99.1.35 443 35664 6 212 71932 1642051773 1642051800 ACCEPT OK
2 607487649814 eni-0c23623b09dbedade 10.99.1.69 10.99.2.8 45622 443 6 39 6411 1642051773 1642051800 ACCEPT OK
2 607487649814 eni-0c23623b09dbedade 10.99.2.8 10.99.1.69 443 45622 6 38 10159 1642051773 1642051800 ACCEPT OK
2 607487649814 eni-0c23623b09dbedade 10.99.1.66 10.99.2.8 8443 50364 6 40 5716 1642051773 1642051800 ACCEPT OK
2 607487649814 eni-0c23623b09dbedade 10.99.2.8 10.99.1.66 50364 8443 6 32 2719 1642051773 1642051800 ACCEPT OK
2 607487649814 eni-0c23623b09dbedade 10.99.1.52 10.99.2.8 34104 443 6 14 4656 1642051773 1642051800 ACCEPT OK
2 607487649814 eni-0c23623b09dbedade 10.99.2.8 10.99.1.52 443 34104 6 11 33022 1642051773 1642051800 ACCEPT OK
2 607487649814 eni-0c23623b09dbedade 10.99.1.89 10.99.2.8 10250 47806 6 14 36962 1642051773 1642051800 ACCEPT OK
2 607487649814 eni-0c23623b09dbedade 10.99.2.8 10.99.1.89 47806 10250 6 15 1584 1642051773 1642051800 ACCEPT OK
2 607487649814 eni-0c23623b09dbedade 10.99.1.66 10.99.2.8 8443 50264 6 15 2544 1642051773 1642051800 ACCEPT OK
2 607487649814 eni-0c23623b09dbedade 10.99.2.8 10.99.1.66 50264 8443 6 22 1462 1642051773 1642051800 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.1.97 10.99.4.24 443 18743 6 3 164 1642051775 1642051801 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.4.24 10.99.1.97 18743 443 6 5 291 1642051775 1642051801 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 80 19507 6 3 164 1642051775 1642051801 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 19507 80 6 5 291 1642051775 1642051801 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.1.97 10.99.4.24 80 50612 6 3 164 1642051775 1642051801 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.4.24 10.99.1.97 50612 80 6 5 291 1642051775 1642051801 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.1.97 10.99.4.24 443 47344 6 3 164 1642051775 1642051801 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.4.24 10.99.1.97 47344 443 6 5 291 1642051775 1642051801 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 443 48440 6 3 164 1642051775 1642051801 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 48440 443 6 5 291 1642051775 1642051801 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.1.97 10.99.4.24 80 49633 6 3 164 1642051775 1642051801 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.4.24 10.99.1.97 49633 80 6 5 291 1642051775 1642051801 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.1.97 10.99.4.24 80 50854 6 3 164 1642051775 1642051801 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.4.24 10.99.1.97 50854 80 6 5 291 1642051775 1642051801 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 80 20006 6 3 164 1642051775 1642051801 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 20006 80 6 5 291 1642051775 1642051801 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 443 14287 6 3 164 1642051775 1642051801 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 14287 443 6 5 291 1642051775 1642051801 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 80 51873 6 3 164 1642051775 1642051801 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 51873 80 6 5 291 1642051775 1642051801 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 80 48495 6 3 164 1642051775 1642051801 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 48495 80 6 5 291 1642051775 1642051801 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.1.97 10.99.4.24 80 19598 6 3 164 1642051775 1642051801 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.4.24 10.99.1.97 19598 80 6 5 291 1642051775 1642051801 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 443 15543 6 3 164 1642051775 1642051801 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 15543 443 6 5 291 1642051775 1642051801 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 162.142.125.68 10.99.4.24 54641 9161 6 1 44 1642051775 1642051801 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 80 14808 6 3 164 1642051775 1642051801 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 14808 80 6 5 291 1642051775 1642051801 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 443 14281 6 3 164 1642051775 1642051801 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 14281 443 6 5 291 1642051775 1642051801 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 443 48773 6 3 164 1642051775 1642051801 ACCEPT OK
2 607487649814 eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 48773 443 6 5 291 1642051775 1642051801 ACCEPT OK
2 607487649814 eni-029b20b982e0306ab 3.134.69.118 10.99.1.89 443 58708 6 67 41735 1642051777 1642051801 ACCEPT OK
2 607487649814 eni-029b20b982e0306ab 10.99.1.89 3.134.69.118 58708 443 6 50 2915 1642051777 1642051801 ACCEPT OK
2 607487649814 eni-029b20b982e0306ab 3.134.69.118 10.99.1.89 443 58564 6 54 45060 1642051777 1642051801 ACCEPT OK
2 607487649814 eni-029b20b982e0306ab 10.99.1.89 3.134.69.118 58564 443 6 24 1692 1642051777 1642051801 ACCEPT OK
2 607487649814 eni-029b20b982e0306ab 10.99.2.8 10.99.1.89 47806 10250 6 15 1584 1642051777 1642051801 ACCEPT OK
2 607487649814 eni-029b20b982e0306ab 10.99.1.89 10.99.2.8 10250 47806 6 13 36909 1642051777 1642051801 ACCEPT OK
2 607487649814 eni-029b20b982e0306ab 3.134.69.118 10.99.1.89 443 58560 6 2 182 1642051777 1642051801 ACCEPT OK
2 607487649814 eni-029b20b982e0306ab 10.99.1.89 3.134.69.118 58560 443 6 4 286 1642051777 1642051801 ACCEPT OK
2 607487649814 eni-00632af9961efe549 3.134.69.118 10.99.4.35 443 3380 6 66 41652 1642051763 1642051823 ACCEPT OK
2 607487649814 eni-00632af9961efe549 10.99.2.13 10.99.4.35 43254 443 6 13 1132 1642051763 1642051823 ACCEPT OK
2 607487649814 eni-00632af9961efe549 10.99.4.35 10.99.1.89 443 58708 6 67 43023 1642051763 1642051823 ACCEPT OK
2 607487649814 eni-00632af9961efe549 101.35.48.27 10.99.4.35 51186 2376 6 1 40 1642051763 1642051823 ACCEPT OK
2 607487649814 eni-00632af9961efe549 10.99.1.253 10.99.4.35 34861 443 6 14 3558 1642051763 1642051823 ACCEPT OK
2 607487649814 eni-00632af9961efe549 10.99.4.35 10.99.1.89 443 6614 6 5 1151 1642051763 1642051823 ACCEPT OK
2 607487649814 eni-00632af9961efe549 10.99.2.13 10.99.4.35 43266 443 6 4 286 1642051763 1642051823 ACCEPT OK
2 607487649814 eni-00632af9961efe549 162.142.125.157 10.99.4.35 10861 2121 6 1 44 1642051763 1642051823 ACCEPT OK
2 607487649814 eni-00632af9961efe549 3.142.118.251 10.99.4.35 443 29859 6 2 182 1642051763 1642051823 ACCEPT OK
2 607487649814 eni-00632af9961efe549 23.224.186.65 10.99.4.35 45104 4433 6 1 44 1642051763 1642051823 ACCEPT OK
2 607487649814 eni-00632af9961efe549 10.99.4.35 10.99.1.253 443 52032 6 69 43158 1642051763 1642051823 ACCEPT OK
2 607487649814 eni-00632af9961efe549 10.99.4.35 3.142.118.251 12632 443 6 4 286 1642051763 1642051823 ACCEPT OK
2 607487649814 eni-00632af9961efe549 10.99.4.35 3.134.69.118 19000 443 6 14 3558 1642051763 1642051823 ACCEPT OK
2 607487649814 eni-00632af9961efe549 3.134.69.118 10.99.4.35 443 56155 6 3 219 1642051763 1642051823 ACCEPT OK
2 607487649814 eni-00632af9961efe549 10.99.4.35 10.99.1.89 443 55949 6 3 219 1642051763 1642051823 ACCEPT OK
2 607487649814 eni-00632af9961efe549 10.99.4.35 3.142.118.251 18242 443 6 8 660 1642051763 1642051823 ACCEPT OK
2 607487649814 eni-00632af9961efe549 3.134.69.118 10.99.4.35 443 45405 6 69 43158 1642051763 1642051823 ACCEPT OK
2 607487649814 eni-0c13d98603d322e3c 10.99.1.253 10.99.3.80 10250 35168 6 6 312 1642051777 1642051802 ACCEPT OK
2 607487649814 eni-0c13d98603d322e3c 10.99.3.80 10.99.1.253 35168 10250 6 6 312 1642051777 1642051802 ACCEPT OK
2 607487649814 eni-0c13d98603d322e3c 10.99.1.12 10.99.3.80 42616 443 6 231 13669 1642051777 1642051802 ACCEPT OK
2 607487649814 eni-0c13d98603d322e3c 10.99.3.80 10.99.1.12 443 42616 6 235 151534 1642051777 1642051802 ACCEPT OK
2 607487649814 eni-0c13d98603d322e3c 10.99.1.66 10.99.3.80 8443 43014 6 33 5330 1642051777 1642051802 ACCEPT OK
2 607487649814 eni-0c13d98603d322e3c 10.99.3.80 10.99.1.66 43014 8443 6 30 2405 1642051777 1642051802 ACCEPT OK
2 607487649814 eni-0c13d98603d322e3c 10.99.1.52 10.99.3.80 33700 443 6 51 3037 1642051777 1642051802 ACCEPT OK
2 607487649814 eni-0c13d98603d322e3c 10.99.3.80 10.99.1.52 443 33700 6 69 55875 1642051777 1642051802 ACCEPT OK
2 607487649814 eni-0c13d98603d322e3c 10.99.1.253 10.99.3.80 10250 34988 6 6 312 1642051777 1642051802 ACCEPT OK
2 607487649814 eni-0c13d98603d322e3c 10.99.3.80 10.99.1.253 34988 10250 6 6 312 1642051777 1642051802 ACCEPT OK
2 607487649814 eni-0c13d98603d322e3c 10.99.1.149 10.99.3.80 33314 443 6 229 13534 1642051777 1642051802 ACCEPT OK
2 607487649814 eni-0c13d98603d322e3c 10.99.3.80 10.99.1.149 443 33314 6 239 201837 1642051777 1642051802 ACCEPT OK
2 607487649814 eni-0c13d98603d322e3c 10.99.1.253 10.99.3.80 10250 59886 6 6 312 1642051777 1642051802 ACCEPT OK
2 607487649814 eni-0c13d98603d322e3c 10.99.3.80 10.99.1.253 59886 10250 6 6 312 1642051777 1642051802 ACCEPT OK
2 unknown eni-08f7e684224b548a7 209.17.97.18 10.99.5.76 50158 30006 6 1 44 1642051783 1642051823 ACCEPT OK
2 unknown eni-08f7e684224b548a7 162.142.125.152 10.99.5.76 56166 12143 6 1 44 1642051783 1642051823 ACCEPT OK
2 unknown eni-00ddb769db3d572ae 85.202.169.113 10.99.6.172 37149 8088 6 1 40 1642051778 1642051819 ACCEPT OK
2 607487649814 eni-08f7e684224b548a7 138.99.216.222 10.99.5.76 50813 12443 6 1 40 1642051814 1642051815 ACCEPT OK
