version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 unknown eni-00ddb769db3d572ae - - - - - - - 1642052655 1642052680 - NODATA
2 unknown eni-08f7e684224b548a7 101.35.48.27 10.99.5.76 51186 2376 6 1 40 1642052646 1642052687 ACCEPT OK
2 unknown eni-08f7e684224b548a7 167.94.145.16 10.99.5.76 33179 49998 6 1 44 1642052646 1642052687 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 443 29317 6 729 764997 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 29317 443 6 370 29611 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.1.97 10.99.4.24 443 25044 6 474 501227 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 10.99.1.97 25044 443 6 239 18926 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 108.228.23.128 10.99.4.24 65197 443 6 368 29482 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 108.228.23.128 443 65197 6 721 764597 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 108.228.23.128 10.99.4.24 64820 443 6 365 29279 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 108.228.23.128 443 64820 6 723 764295 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 443 59139 6 719 759727 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 59139 443 6 353 28658 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 443 59605 6 724 764765 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 59605 443 6 363 29407 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 443 14834 6 719 759727 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 14834 443 6 367 29386 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 443 46541 6 721 759701 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 46541 443 6 368 29459 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 443 60914 6 725 764635 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 60914 443 6 369 29542 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 108.228.23.128 10.99.4.24 64100 443 6 354 28714 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 108.228.23.128 443 64100 6 723 764819 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.1.97 10.99.4.24 443 15064 6 720 759909 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 10.99.1.97 15064 443 6 382 30230 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 108.228.23.128 10.99.4.24 64333 443 6 365 29279 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 108.228.23.128 443 64333 6 720 759791 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 443 57665 6 423 447996 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 57665 443 6 218 17027 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 108.228.23.128 10.99.4.24 63812 443 6 174 13627 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 108.228.23.128 443 63812 6 336 356728 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 108.228.23.128 10.99.4.24 64655 443 6 366 29350 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 108.228.23.128 443 64655 6 718 759675 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 443 11996 6 723 764165 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 11996 443 6 350 28743 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 108.228.23.128 10.99.4.24 64511 443 6 368 29478 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 108.228.23.128 443 64511 6 722 764239 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 443 5320 6 276 288745 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 5320 443 6 141 11163 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 443 13915 6 720 759767 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 13915 443 6 356 28906 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 108.228.23.128 10.99.4.24 63846 443 6 354 27634 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 108.228.23.128 443 63846 6 670 713475 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 443 20913 6 111 114274 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 20913 443 6 60 4623 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 108.228.23.128 10.99.4.24 65066 443 6 113 9554 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 108.228.23.128 443 65066 6 232 243410 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 108.228.23.128 10.99.4.24 64079 443 6 353 28598 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 108.228.23.128 443 64079 6 722 764101 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.1.97 10.99.4.24 443 1280 6 81 83626 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 10.99.1.97 1280 443 6 40 3159 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 443 65307 6 325 342067 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 65307 443 6 162 13463 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 108.228.23.128 10.99.4.24 64689 443 6 356 28882 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 108.228.23.128 443 64689 6 722 764779 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 108.228.23.128 10.99.4.24 65532 443 6 269 21857 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 108.228.23.128 443 65532 6 540 567390 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 108.228.23.128 10.99.4.24 64168 443 6 352 28582 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 108.228.23.128 443 64168 6 723 760065 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.1.97 10.99.4.24 443 46750 6 727 764763 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 10.99.1.97 46750 443 6 370 29639 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 108.228.23.128 10.99.4.24 65477 443 6 373 29863 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 108.228.23.128 443 65477 6 724 764217 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 108.228.23.128 10.99.4.24 64723 443 6 369 29527 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 108.228.23.128 443 64723 6 723 764295 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 108.228.23.128 10.99.4.24 63969 443 6 369 29599 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 108.228.23.128 443 63969 6 726 764841 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 443 50536 6 720 759909 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 50536 443 6 358 29074 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 108.228.23.128 10.99.4.24 65045 443 6 357 28922 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 108.228.23.128 443 65045 6 717 759493 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.1.97 10.99.4.24 443 29539 6 272 288407 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 10.99.1.97 29539 443 6 142 11009 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 443 56725 6 719 759857 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 56725 443 6 367 29386 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 443 11954 6 722 764231 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 11954 443 6 364 29154 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 443 36663 6 726 764581 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 36663 443 6 363 29419 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 443 64333 6 719 759479 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 64333 443 6 360 29187 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 108.228.23.128 10.99.4.24 63715 443 6 177 14029 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 108.228.23.128 443 63715 6 351 372052 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 108.228.23.128 10.99.4.24 64935 443 6 354 28747 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 108.228.23.128 443 64935 6 723 764713 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.1.97 10.99.4.24 443 17263 6 724 764595 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 10.99.1.97 17263 443 6 380 30062 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 108.228.23.128 10.99.4.24 64558 443 6 355 28766 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 108.228.23.128 443 64558 6 719 759715 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.1.97 10.99.4.24 443 57942 6 46 43367 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 10.99.1.97 57942 443 6 24 2371 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.1.97 10.99.4.24 443 2225 6 54 53394 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 10.99.1.97 2225 443 6 31 2303 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 108.228.23.128 10.99.4.24 64037 443 6 358 29010 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 108.228.23.128 443 64037 6 724 760247 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.1.97 10.99.4.24 443 56201 6 724 764465 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 10.99.1.97 56201 443 6 366 29282 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 108.228.23.128 10.99.4.24 64880 443 6 363 29106 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 108.228.23.128 443 64880 6 715 759259 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 443 62537 6 727 764881 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 62537 443 6 368 29462 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.1.97 10.99.4.24 443 31348 6 722 764231 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 10.99.1.97 31348 443 6 367 29362 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 108.228.23.128 10.99.4.24 64503 443 6 353 28650 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 108.228.23.128 443 64503 6 722 764649 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 108.228.23.128 10.99.4.24 64736 443 6 366 29326 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 108.228.23.128 443 64736 6 723 764413 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.1.97 10.99.4.24 443 10155 6 716 759181 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 10.99.1.97 10155 443 6 357 28986 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 108.228.23.128 10.99.4.24 65202 443 6 369 29591 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 108.228.23.128 443 65202 6 725 764935 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 108.228.23.128 10.99.4.24 64215 443 6 53 4138 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 108.228.23.128 443 64215 6 102 106339 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 108.228.23.128 10.99.4.24 64825 443 6 354 28695 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 108.228.23.128 443 64825 6 725 764817 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 108.228.23.128 10.99.4.24 65058 443 6 366 29291 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 108.228.23.128 443 65058 6 720 759791 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.1.97 10.99.4.24 443 50224 6 726 764987 1642052613 1642052673 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 10.99.1.97 50224 443 6 367 29386 1642052613 1642052673 ACCEPT OK
